	Dark skin	Light skin	Blue sky	Foliage	Blue flower	Bluish green	Orange	Purplish blue	Moderate red	Purple	Yellow green	Orange yellow	Blue	Green	Red	Yellow	Magenta	Cyan	White	Neutral 8	Neutral 6.5	Neutral 5	Neutral 3.5	Black
561.76	0.099799	0.26716	0.16912	0.14481	0.19267	0.43063	0.29296	0.090211	0.10494	0.048082	0.53687	0.50743	0.04544	0.26847	0.058773	0.72245	0.10029	0.12994	0.9505	0.63234	0.37937	0.19562	0.092386	0.03243
564.95	0.10411	0.27045	0.16484	0.1392	0.18796	0.41561	0.32046	0.088725	0.10738	0.048507	0.52773	0.51934	0.045088	0.25691	0.06091	0.7259	0.10138	0.12147	0.95184	0.63239	0.37987	0.19591	0.092211	0.032398
568.14	0.10882	0.27978	0.16139	0.13466	0.1845	0.40035	0.351	0.08762	0.11192	0.049433	0.51755	0.53196	0.044812	0.24491	0.063918	0.72951	0.1048	0.11407	0.95216	0.63283	0.38065	0.1964	0.092026	0.032364
571.34	0.11446	0.29661	0.15895	0.13132	0.18284	0.38461	0.38605	0.086975	0.12119	0.051084	0.50622	0.54519	0.044654	0.23315	0.067895	0.73345	0.11074	0.10777	0.95326	0.63377	0.38193	0.19724	0.091828	0.032346
574.53	0.12137	0.31981	0.1572	0.12893	0.18325	0.36829	0.42554	0.086547	0.13668	0.053573	0.49436	0.55834	0.044554	0.22092	0.073118	0.73757	0.12077	0.10244	0.95481	0.63427	0.38318	0.19826	0.091733	0.032264
577.72	0.12825	0.34833	0.15585	0.12649	0.18537	0.35138	0.46667	0.086231	0.15956	0.056911	0.48011	0.57059	0.044499	0.20795	0.080048	0.74043	0.13626	0.097909	0.95495	0.63406	0.38363	0.19873	0.09161	0.032221
580.91	0.13466	0.38108	0.15499	0.12457	0.18972	0.33425	0.50726	0.08619	0.19081	0.061173	0.4649	0.58235	0.044404	0.19471	0.089257	0.74261	0.15711	0.094098	0.95496	0.63376	0.38358	0.199	0.091514	0.032168
584.1	0.14041	0.41556	0.15461	0.1232	0.19578	0.31691	0.5456	0.086314	0.22963	0.066294	0.44867	0.59321	0.044362	0.18155	0.10127	0.7448	0.18327	0.090797	0.95508	0.63354	0.38379	0.19929	0.091452	0.032107
587.29	0.1453	0.44925	0.15442	0.12185	0.20278	0.29979	0.57961	0.086438	0.27357	0.071936	0.43117	0.60316	0.044329	0.16856	0.11885	0.74677	0.21399	0.087839	0.95476	0.63315	0.38387	0.19947	0.091282	0.032083
590.49	0.14914	0.47991	0.15394	0.12037	0.21023	0.28323	0.60811	0.086713	0.3204	0.07764	0.41292	0.61165	0.044289	0.15656	0.1419	0.74852	0.24757	0.08498	0.95479	0.63286	0.3839	0.19947	0.091082	0.032008
593.68	0.1519	0.50649	0.15305	0.11877	0.21807	0.26816	0.63051	0.086741	0.36753	0.082826	0.39481	0.61904	0.044219	0.14567	0.17073	0.74994	0.28324	0.082356	0.95453	0.63248	0.38372	0.19926	0.090781	0.031965
596.87	0.15372	0.5284	0.15158	0.11703	0.22618	0.2548	0.64666	0.086986	0.41212	0.087394	0.37735	0.62529	0.044213	0.13633	0.20527	0.75031	0.31996	0.079952	0.95424	0.63167	0.38341	0.19891	0.090468	0.031949
600.06	0.15465	0.54644	0.14955	0.11528	0.23397	0.24288	0.65648	0.087043	0.45297	0.091188	0.36209	0.63022	0.044191	0.12843	0.24565	0.75013	0.35746	0.077785	0.95382	0.63074	0.38278	0.19836	0.090176	0.031941
603.25	0.15517	0.56172	0.14752	0.11391	0.2412	0.23334	0.66164	0.087107	0.48907	0.094184	0.34953	0.63458	0.044153	0.12231	0.29115	0.74981	0.39499	0.07601	0.9534	0.63001	0.38228	0.19797	0.08986	0.031896
606.44	0.15585	0.57476	0.14575	0.11316	0.24657	0.22602	0.66375	0.086796	0.51968	0.096986	0.33927	0.63822	0.044164	0.1176	0.3399	0.74952	0.43136	0.074709	0.9532	0.62939	0.38194	0.19781	0.089358	0.03187
609.64	0.15699	0.58623	0.14412	0.11274	0.24933	0.22029	0.66398	0.086663	0.54485	0.099558	0.33109	0.64115	0.044259	0.11412	0.38926	0.74935	0.46497	0.073901	0.95337	0.62921	0.38176	0.19758	0.089	0.031942
612.83	0.15855	0.59587	0.14259	0.11265	0.24947	0.21545	0.66293	0.086479	0.56465	0.10189	0.32444	0.64287	0.044417	0.11135	0.43621	0.74933	0.49472	0.073257	0.95338	0.62875	0.38124	0.19707	0.088741	0.031895
616.02	0.1605	0.60436	0.1412	0.11302	0.24801	0.21181	0.66138	0.086438	0.58028	0.10394	0.31951	0.64467	0.044604	0.10918	0.47816	0.75008	0.52033	0.072802	0.95368	0.62807	0.38068	0.19649	0.088387	0.031876
619.21	0.16275	0.61227	0.14006	0.11379	0.24639	0.20903	0.65916	0.086517	0.59232	0.10579	0.31585	0.64647	0.044834	0.10742	0.51408	0.75215	0.54205	0.072561	0.95386	0.62722	0.38008	0.19602	0.087892	0.031904
622.4	0.16557	0.6199	0.13929	0.11493	0.2459	0.20679	0.6568	0.08703	0.60118	0.10766	0.31325	0.64777	0.04513	0.10611	0.54376	0.75458	0.56129	0.072371	0.95393	0.6263	0.37939	0.19546	0.087601	0.031892
625.59	0.16893	0.62757	0.13906	0.11634	0.2475	0.20489	0.65402	0.087956	0.60777	0.10957	0.31114	0.64888	0.045474	0.10503	0.56734	0.75687	0.5795	0.072217	0.95384	0.62543	0.37871	0.19489	0.087267	0.031907
628.79	0.17256	0.63534	0.13933	0.11804	0.25151	0.20327	0.65149	0.089391	0.61281	0.11158	0.30935	0.64992	0.045828	0.10415	0.58568	0.75923	0.59772	0.072073	0.954	0.62489	0.37813	0.1944	0.086827	0.031897
631.98	0.17634	0.64363	0.13997	0.11969	0.25753	0.20153	0.6487	0.091378	0.61637	0.1136	0.30727	0.65033	0.046254	0.10333	0.59953	0.76113	0.61596	0.071957	0.95422	0.62453	0.37763	0.19385	0.086534	0.031842
635.17	0.17999	0.65164	0.14108	0.12121	0.2657	0.19952	0.64571	0.093584	0.61825	0.11569	0.30498	0.6505	0.046723	0.10231	0.60938	0.76206	0.63501	0.071898	0.9543	0.62355	0.37674	0.19318	0.086308	0.031781
638.36	0.18357	0.65943	0.14276	0.1226	0.27611	0.19768	0.64208	0.096133	0.61931	0.11782	0.30269	0.65071	0.047223	0.10121	0.61649	0.76256	0.65529	0.072087	0.9544	0.62226	0.37572	0.19237	0.086064	0.03174
641.55	0.18696	0.66779	0.14511	0.12419	0.28896	0.19619	0.638	0.099193	0.62029	0.12026	0.30096	0.65155	0.047733	0.10022	0.62201	0.76303	0.67656	0.072458	0.95489	0.62125	0.37475	0.19177	0.085804	0.03172
644.74	0.19028	0.67699	0.14797	0.12578	0.30385	0.19488	0.63402	0.1029	0.62092	0.1232	0.29981	0.65227	0.048298	0.099676	0.62625	0.76333	0.69828	0.072954	0.95509	0.62045	0.37399	0.19125	0.085443	0.031707
647.94	0.19361	0.68678	0.15106	0.12709	0.32027	0.19393	0.63125	0.10687	0.62135	0.12629	0.29956	0.65287	0.048953	0.099251	0.62971	0.76344	0.71992	0.073564	0.95535	0.6197	0.37326	0.19059	0.0851	0.031708
651.13	0.19671	0.69714	0.15436	0.12818	0.33761	0.19366	0.62938	0.11116	0.62163	0.12963	0.30022	0.65325	0.049691	0.099156	0.63247	0.76373	0.7406	0.074282	0.95552	0.61904	0.37256	0.18997	0.084892	0.031677
654.32	0.19951	0.70769	0.15758	0.12927	0.35524	0.19428	0.62892	0.11592	0.62147	0.1335	0.30216	0.65383	0.050453	0.099592	0.63455	0.76446	0.75974	0.075116	0.95585	0.61853	0.37183	0.18944	0.084704	0.031638
657.51	0.20176	0.71861	0.16081	0.12996	0.37202	0.19575	0.63005	0.12107	0.62159	0.13775	0.30537	0.65424	0.051257	0.10047	0.63642	0.76527	0.7766	0.075996	0.95581	0.61789	0.37125	0.18883	0.084516	0.031626
660.7	0.20313	0.72912	0.16323	0.13009	0.38698	0.19799	0.632	0.12648	0.62122	0.14258	0.30956	0.65445	0.052127	0.10175	0.63746	0.76455	0.79064	0.076787	0.95521	0.61656	0.37034	0.18813	0.084411	0.03161
663.89	0.20285	0.73879	0.16435	0.12932	0.39976	0.20024	0.63395	0.13188	0.62011	0.14767	0.31463	0.65376	0.052987	0.10311	0.63792	0.76149	0.80179	0.077198	0.95319	0.61489	0.36907	0.18726	0.084382	0.031591
