"Light Blue"	""	""	
420	3.158000E-1
430	3.205000E-1
440	3.278000E-1
450	3.447000E-1
460	3.747000E-1
470	3.937000E-1
480	4.051000E-1
490	4.430000E-1
500	4.962000E-1
510	5.324000E-1
520	5.523000E-1
530	5.514000E-1
540	5.406000E-1
550	5.532000E-1
560	6.260000E-1
570	7.208000E-1
580	7.788000E-1
590	8.108000E-1
600	8.268000E-1
610	8.317000E-1
620	8.316000E-1
630	8.350000E-1
640	8.455000E-1
650	8.596000E-1
660	8.719000E-1
670	8.778000E-1
680	8.747000E-1
690	8.686000E-1
700	8.751000E-1
710	8.806000E-1
720	8.832000E-1
730	8.567000E-1
"Red"	""	""	
380	4.440000E-2
390	5.400000E-2
400	6.190000E-2
410	6.380000E-2
420	6.070000E-2
430	5.980000E-2
440	6.080000E-2
450	6.530000E-2
460	7.270000E-2
470	7.690000E-2
480	7.900000E-2
490	8.660000E-2
500	9.530000E-2
510	8.870000E-2
520	7.300000E-2
530	6.640000E-2
540	7.300000E-2
550	7.330000E-2
560	6.650000E-2
570	6.600000E-2
580	9.670000E-2
590	2.267000E-1
600	4.592000E-1
610	6.773000E-1
620	8.056000E-1
630	8.631000E-1
640	8.869000E-1
650	8.991000E-1
660	9.066000E-1
670	9.119000E-1
680	9.161000E-1
690	9.175000E-1
700	9.185000E-1
710	9.166000E-1
720	9.082000E-1
730	8.543000E-1
"Light Magenta"	""	""	
380	2.021000E-1
390	2.710000E-1
400	3.677000E-1
410	4.482000E-1
420	4.837000E-1
430	5.064000E-1
440	5.292000E-1
450	5.540000E-1
460	5.808000E-1
470	6.058000E-1
480	6.275000E-1
490	6.528000E-1
500	6.771000E-1
510	6.918000E-1
520	7.038000E-1
530	7.153000E-1
540	7.217000E-1
550	7.252000E-1
560	7.403000E-1
570	7.905000E-1
580	8.424000E-1
590	8.824000E-1
600	9.049000E-1
610	9.144000E-1
620	9.188000E-1
630	9.217000E-1
640	9.211000E-1
650	9.229000E-1
660	9.258000E-1
670	9.286000E-1
680	9.311000E-1
690	9.320000E-1
700	9.347000E-1
710	9.344000E-1
720	9.307000E-1
730	9.050000E-1
"Magenta"	""	""	
380	7.230000E-2
390	8.880000E-2
400	1.076000E-1
410	1.213000E-1
420	1.252000E-1
430	1.272000E-1
440	1.266000E-1
450	1.202000E-1
460	1.094000E-1
470	9.310000E-2
480	7.260000E-2
490	5.610000E-2
500	4.440000E-2
510	3.450000E-2
520	2.870000E-2
530	2.730000E-2
540	2.840000E-2
550	2.790000E-2
560	3.050000E-2
570	3.880000E-2
580	6.940000E-2
