SRT-MS-050 Multi-Step Reflectance Target				
This data is for reference only				
401	0.9915	0.4393	0.2092	0.1112
402	0.9912	0.4393	0.2092	0.1112
403	0.9911	0.4395	0.2094	0.1112
404	0.9911	0.4396	0.2094	0.1111
405	0.9906	0.4396	0.2095	0.1111
406	0.9909	0.4399	0.2097	0.1111
407	0.9905	0.4401	0.2096	0.1112
408	0.9911	0.4403	0.2097	0.1111
409	0.9912	0.4404	0.2099	0.1111
410	0.9910	0.4405	0.2099	0.1112
411	0.9904	0.4405	0.2099	0.1112
412	0.9903	0.4408	0.2100	0.1110
413	0.9906	0.4409	0.2103	0.1111
414	0.9903	0.4409	0.2102	0.1111
415	0.9904	0.4413	0.2104	0.1111
416	0.9902	0.4415	0.2104	0.1112
417	0.9906	0.4417	0.2107	0.1112
418	0.9904	0.4419	0.2107	0.1112
419	0.9903	0.4418	0.2107	0.1111
420	0.9903	0.4418	0.2108	0.1111
421	0.9902	0.4420	0.2109	0.1112
422	0.9901	0.4422	0.2109	0.1113
423	0.9900	0.4424	0.2111	0.1111
424	0.9898	0.4427	0.2112	0.1111
425	0.9900	0.4427	0.2113	0.1112
426	0.9900	0.4428	0.2114	0.1111
427	0.9897	0.4432	0.2114	0.1111
428	0.9898	0.4434	0.2115	0.1111
429	0.9903	0.4434	0.2118	0.1112
430	0.9901	0.4435	0.2119	0.1112
431	0.9902	0.4436	0.2120	0.1111
432	0.9898	0.4437	0.2120	0.1112
433	0.9899	0.4440	0.2120	0.1111
434	0.9900	0.4442	0.2121	0.1112
435	0.9899	0.4442	0.2123	0.1112
436	0.9896	0.4445	0.2124	0.1112
437	0.9899	0.4445	0.2125	0.1112
438	0.9897	0.4445	0.2126	0.1112
439	0.9898	0.4448	0.2128	0.1112
440	0.9900	0.4453	0.2128	0.1112
441	0.9898	0.4454	0.2131	0.1112
442	0.9900	0.4453	0.2132	0.1113
443	0.9900	0.4454	0.2134	0.1113
444	0.9901	0.4457	0.2135	0.1112
445	0.9900	0.4460	0.2137	0.1112
446	0.9900	0.4461	0.2138	0.1112
447	0.9903	0.4462	0.2139	0.1113
448	0.9901	0.4463	0.2139	0.1113
449	0.9901	0.4464	0.2140	0.1113
450	0.9902	0.4466	0.2142	0.1113
451	0.9900	0.4469	0.2142	0.1114
452	0.9898	0.4471	0.2142	0.1115
453	0.9902	0.4470	0.2144	0.1115
454	0.9900	0.4471	0.2143	0.1114
455	0.9899	0.4473	0.2144	0.1114
456	0.9899	0.4474	0.2145	0.1114
457	0.9901	0.4477	0.2146	0.1115
458	0.9899	0.4480	0.2146	0.1116
459	0.9899	0.4482	0.2146	0.1116
460	0.9900	0.4483	0.2148	0.1115
461	0.9901	0.4483	0.2149	0.1115
462	0.9902	0.4486	0.2150	0.1116
463	0.9900	0.4490	0.2150	0.1116
464	0.9896	0.4491	0.2151	0.1116
465	0.9896	0.4493	0.2151	0.1115
466	0.9897	0.4494	0.2153	0.1116
467	0.9898	0.4492	0.2154	0.1115
468	0.9897	0.4493	0.2155	0.1115
469	0.9897	0.4498	0.2157	0.1116
470	0.9896	0.4500	0.2157	0.1116
471	0.9895	0.4500	0.2158	0.1116
472	0.9898	0.4503	0.2160	0.1116
473	0.9906	0.4508	0.2163	0.1117
474	0.9907	0.4509	0.2164	0.1117
475	0.9908	0.4513	0.2165	0.1117
476	0.9909	0.4515	0.2166	0.1117
477	0.9909	0.4518	0.2168	0.1117
478	0.9907	0.4518	0.2170	0.1118
479	0.9906	0.4517	0.2173	0.1118
480	0.9904	0.4519	0.2177	0.1118
481	0.9903	0.4523	0.2181	0.1119
482	0.9903	0.4526	0.2184	0.1119
483	0.9906	0.4527	0.2189	0.1119
484	0.9908	0.4528	0.2194	0.1120
485	0.9907	0.4529	0.2196	0.1119
486	0.9909	0.4530	0.2197	0.1120
487	0.9911	0.4534	0.2198	0.1120
488	0.9912	0.4535	0.2198	0.1121
489	0.9912	0.4536	0.2198	0.1121
490	0.9911	0.4539	0.2198	0.1122
491	0.9910	0.4539	0.2198	0.1122
492	0.9910	0.4540	0.2197	0.1122
493	0.9910	0.4542	0.2197	0.1122
494	0.9908	0.4544	0.2197	0.1123
495	0.9908	0.4546	0.2198	0.1123
496	0.9909	0.4546	0.2198	0.1124
497	0.9910	0.4547	0.2199	0.1124
498	0.9909	0.4551	0.2199	0.1123
499	0.9910	0.4553	0.2199	0.1124
500	0.9911	0.4555	0.2199	0.1124
501	0.9909	0.4557	0.2199	0.1124
502	0.9906	0.4557	0.2199	0.1124
503	0.9906	0.4558	0.2200	0.1125
504	0.9906	0.4559	0.2201	0.1125
505	0.9905	0.4562	0.2202	0.1125
506	0.9904	0.4563	0.2203	0.1125
507	0.9905	0.4564	0.2203	0.1125
508	0.9905	0.4568	0.2204	0.1126
509	0.9906	0.4568	0.2205	0.1126
510	0.9904	0.4570	0.2206	0.1126
511	0.9904	0.4573	0.2208	0.1126
512	0.9905	0.4574	0.2209	0.1125
513	0.9904	0.4575	0.2209	0.1126
514	0.9904	0.4578	0.2209	0.1126
515	0.9905	0.4579	0.2211	0.1126
516	0.9906	0.4582	0.2213	0.1126
517	0.9904	0.4583	0.2214	0.1126
518	0.9904	0.4584	0.2215	0.1126
519	0.9904	0.4586	0.2217	0.1127
520	0.9904	0.4589	0.2218	0.1127
521	0.9904	0.4590	0.2219	0.1127
522	0.9903	0.4592	0.2220	0.1127
523	0.9902	0.4596	0.2221	0.1128
524	0.9901	0.4596	0.2222	0.1127
525	0.9902	0.4597	0.2224	0.1127
526	0.9902	0.4599	0.2225	0.1128
527	0.9903	0.4601	0.2226	0.1128
528	0.9903	0.4602	0.2228	0.1129
