434	9.33E-02	4.26E-01	3.99E-02	1.74E-03	2.29E-04	3.39E-04	5.84E-04	1.20E-04	-2.14E-04	2.72E-05
435	8.04E-02	4.89E-01	4.96E-02	2.28E-03	2.09E-04	3.30E-04	8.52E-04	-2.85E-04	2.87E-04	-1.45E-05
436	7.20E-02	5.50E-01	5.97E-02	2.62E-03	1.32E-04	3.44E-04	8.88E-04	-9.23E-05	-1.46E-04	-8.58E-05
437	6.38E-02	6.07E-01	7.07E-02	3.37E-03	8.43E-05	4.18E-04	8.61E-04	-1.50E-04	1.28E-04	6.42E-05
438	5.74E-02	6.69E-01	8.44E-02	3.59E-03	1.35E-04	3.50E-04	1.02E-03	-1.46E-05	-4.75E-05	6.26E-05
439	5.23E-02	7.31E-01	9.97E-02	4.27E-03	6.60E-05	3.04E-04	1.32E-03	-1.03E-04	-1.00E-04	-2.89E-05
440	4.64E-02	8.00E-01	1.21E-01	5.16E-03	5.74E-05	8.11E-04	1.56E-03	1.40E-04	7.93E-05	4.46E-05
441	4.20E-02	8.54E-01	1.41E-01	6.23E-03	2.77E-04	7.35E-04	1.68E-03	9.52E-05	-5.04E-05	3.92E-05
442	3.82E-02	9.06E-01	1.63E-01	7.17E-03	2.72E-04	5.24E-04	1.86E-03	1.33E-05	1.01E-04	-1.16E-04
443	3.47E-02	9.48E-01	1.89E-01	8.51E-03	3.14E-04	7.87E-04	2.04E-03	3.02E-06	1.32E-04	-9.47E-05
444	3.08E-02	9.82E-01	2.23E-01	9.94E-03	3.93E-04	1.00E-03	2.49E-03	3.85E-05	1.36E-04	-9.26E-05
445	2.75E-02	9.97E-01	2.53E-01	1.16E-02	3.87E-04	9.56E-04	2.49E-03	7.68E-05	2.37E-04	-9.63E-05
446	2.50E-02	1.00E+00	2.90E-01	1.38E-02	3.81E-04	8.01E-04	2.52E-03	3.46E-05	3.34E-05	2.01E-04
447	2.29E-02	9.83E-01	3.26E-01	1.60E-02	5.34E-04	1.01E-03	2.65E-03	3.92E-05	2.22E-05	2.02E-04
448	2.03E-02	9.41E-01	3.73E-01	1.84E-02	2.55E-04	1.01E-03	2.92E-03	1.97E-04	6.37E-05	-9.44E-05
449	1.86E-02	8.89E-01	4.18E-01	2.19E-02	2.37E-04	1.14E-03	3.09E-03	1.84E-05	4.98E-05	-1.14E-04
450	1.70E-02	8.28E-01	4.66E-01	2.48E-02	3.69E-04	1.19E-03	3.03E-03	2.14E-04	9.67E-05	-1.01E-05
451	1.57E-02	7.60E-01	5.14E-01	2.90E-02	4.48E-04	1.07E-03	2.91E-03	5.68E-05	7.61E-05	7.06E-05
452	1.45E-02	6.72E-01	5.72E-01	3.39E-02	4.46E-04	9.39E-04	2.54E-03	1.75E-04	1.10E-05	-2.81E-05
453	1.37E-02	5.97E-01	6.24E-01	3.89E-02	5.25E-04	9.08E-04	2.37E-03	1.90E-05	-8.04E-05	5.93E-05
454	1.26E-02	5.33E-01	6.75E-01	4.57E-02	7.11E-04	8.33E-04	2.19E-03	3.01E-04	5.22E-05	1.97E-05
455	1.19E-02	4.74E-01	7.31E-01	5.23E-02	7.82E-04	7.85E-04	1.89E-03	-8.01E-06	7.10E-05	2.22E-05
456	1.15E-02	4.21E-01	7.80E-01	6.00E-02	7.31E-04	7.71E-04	1.83E-03	5.40E-06	-3.05E-05	-8.38E-05
457	1.09E-02	3.67E-01	8.33E-01	7.12E-02	9.34E-04	6.40E-04	1.47E-03	2.62E-05	3.00E-05	-7.08E-05
458	1.04E-02	3.29E-01	8.75E-01	8.12E-02	1.13E-03	6.82E-04	1.54E-03	-3.86E-05	-2.20E-05	-1.95E-04
459	9.86E-03	2.97E-01	9.15E-01	9.38E-02	1.25E-03	5.53E-04	1.40E-03	2.78E-04	-2.06E-05	-1.25E-04
460	9.54E-03	2.68E-01	9.49E-01	1.07E-01	1.58E-03	5.30E-04	1.38E-03	1.10E-04	5.60E-06	1.31E-04
461	9.20E-03	2.40E-01	9.74E-01	1.25E-01	1.83E-03	4.92E-04	1.15E-03	4.01E-05	1.06E-04	1.44E-05
462	8.79E-03	2.16E-01	9.89E-01	1.43E-01	2.24E-03	2.74E-04	1.24E-03	1.14E-04	4.88E-05	-8.85E-06
463	8.38E-03	1.95E-01	9.99E-01	1.62E-01	2.58E-03	5.59E-04	1.03E-03	5.79E-05	1.44E-04	1.46E-04
464	8.21E-03	1.76E-01	1.00E+00	1.85E-01	3.09E-03	3.52E-04	8.92E-04	1.17E-04	1.18E-04	-2.70E-05
465	8.00E-03	1.54E-01	9.88E-01	2.11E-01	3.79E-03	3.47E-04	8.90E-04	-1.86E-05	-1.53E-04	1.60E-04
466	7.59E-03	1.36E-01	9.73E-01	2.39E-01	4.57E-03	3.16E-04	9.02E-04	1.46E-04	3.13E-05	8.42E-05
467	7.23E-03	1.20E-01	9.51E-01	2.69E-01	5.22E-03	3.37E-04	6.66E-04	-4.47E-06	4.64E-05	-1.89E-05
468	6.95E-03	1.07E-01	9.22E-01	3.04E-01	6.23E-03	3.48E-04	8.22E-04	-3.10E-06	-1.31E-05	-1.26E-04
469	6.78E-03	9.35E-02	8.90E-01	3.40E-01	7.19E-03	3.16E-04	7.29E-04	7.71E-05	-2.71E-06	4.78E-06
470	6.42E-03	8.05E-02	8.45E-01	3.83E-01	8.89E-03	2.86E-04	6.41E-04	-6.02E-05	4.02E-05	9.70E-05
471	6.19E-03	7.17E-02	8.06E-01	4.26E-01	1.03E-02	2.83E-04	6.43E-04	1.03E-05	6.15E-05	7.40E-05
472	5.90E-03	6.35E-02	7.64E-01	4.69E-01	1.19E-02	2.77E-04	4.29E-04	-1.37E-05	-3.99E-05	4.74E-05
473	5.84E-03	5.67E-02	7.23E-01	5.13E-01	1.40E-02	2.25E-04	4.78E-04	-8.21E-05	-3.27E-06	1.07E-04
474	5.27E-03	5.04E-02	6.72E-01	5.69E-01	1.68E-02	1.76E-04	3.76E-04	-1.02E-04	9.83E-06	-1.86E-04
475	5.23E-03	4.43E-02	6.27E-01	6.20E-01	1.95E-02	2.29E-04	2.35E-04	1.34E-05	4.97E-05	2.18E-05
476	4.99E-03	4.02E-02	5.83E-01	6.69E-01	2.24E-02	2.90E-04	3.74E-04	8.35E-05	5.59E-05	3.12E-05
477	4.68E-03	3.69E-02	5.39E-01	7.18E-01	2.60E-02	2.99E-04	3.01E-04	7.33E-05	-6.49E-05	1.67E-04
478	4.52E-03	3.33E-02	4.98E-01	7.66E-01	3.00E-02	1.99E-04	3.89E-04	3.35E-06	-6.34E-05	-5.25E-05
479	4.39E-03	3.00E-02	4.51E-01	8.18E-01	3.53E-02	3.45E-04	4.15E-04	-1.13E-05	1.76E-04	2.55E-05
480	4.26E-03	2.72E-02	4.14E-01	8.62E-01	4.06E-02	4.21E-04	2.86E-04	-5.03E-05	1.91E-04	-4.64E-05
481	4.02E-03	2.41E-02	3.77E-01	8.99E-01	4.66E-02	4.00E-04	2.82E-04	1.20E-04	1.14E-04	3.93E-05
482	3.88E-03	2.17E-02	3.43E-01	9.34E-01	5.34E-02	3.24E-04	2.55E-04	2.12E-04	1.78E-05	1.31E-04
483	3.67E-03	1.94E-02	3.07E-01	9.62E-01	6.24E-02	1.19E-04	2.03E-04	-8.05E-05	2.18E-05	-1.88E-04
484	3.63E-03	1.74E-02	2.80E-01	9.81E-01	7.04E-02	4.59E-04	2.60E-04	-1.14E-05	6.98E-06	-4.30E-06
485	3.46E-03	1.55E-02	2.55E-01	9.94E-01	8.04E-02	3.74E-04	2.68E-04	-3.07E-05	-4.08E-06	4.19E-05
486	3.33E-03	1.39E-02	2.33E-01	1.00E+00	9.10E-02	3.31E-04	3.90E-04	4.39E-05	-1.40E-05	-6.22E-05
487	3.21E-03	1.23E-02	2.12E-01	1.00E+00	1.04E-01	4.00E-04	4.17E-04	5.35E-05	8.41E-05	-1.18E-05
488	3.21E-03	1.09E-02	1.91E-01	9.87E-01	1.19E-01	4.89E-04	3.51E-04	-9.36E-05	-1.30E-05	1.25E-04
489	3.06E-03	9.94E-03	1.75E-01	9.71E-01	1.35E-01	4.27E-04	2.69E-04	3.55E-05	1.14E-04	-1.48E-04
490	2.96E-03	8.91E-03	1.59E-01	9.49E-01	1.52E-01	6.94E-04	2.75E-04	9.95E-05	1.09E-04	9.55E-05
491	2.91E-03	7.98E-03	1.44E-01	9.24E-01	1.70E-01	7.47E-04	3.66E-04	1.57E-05	1.87E-05	1.54E-04
492	2.84E-03	7.22E-03	1.30E-01	8.87E-01	1.93E-01	9.58E-04	4.11E-04	-1.55E-04	-3.46E-06	-5.77E-05
